item	item_index	0	1	2	3	4	5	model	lang
Whether or not someone showed a lack of respect for authority	4	0.010942704044282436	0.015434986911714077	0.30719834566116333	0.43559202551841736	0.13527624309062958	0.09555570036172867	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone violated standards of purity and decency	5	0.012392016127705574	0.01644343137741089	0.2713339328765869	0.4435420632362366	0.1445566564798355	0.1117318868637085	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone was good at math	6	0.010647808201611042	0.015332650393247604	0.3006814122200012	0.43585795164108276	0.1320662796497345	0.10541393607854843	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone cared for someone weak or vulnerable	7	0.011832945980131626	0.014418015256524086	0.29281553626060486	0.4939913749694824	0.110063835978508	0.07687830924987793	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone acted unfairly	8	0.011496162973344326	0.01732291653752327	0.2766744792461395	0.43457886576652527	0.15111486613750458	0.10881277173757553	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone did something to betray his or her group	9	0.012712654657661915	0.019194645807147026	0.2719547748565674	0.43908169865608215	0.14676278829574585	0.1102934405207634	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone conformed to the traditions of society	10	0.010899022221565247	0.012868968769907951	0.2682377099990845	0.44783517718315125	0.15107545256614685	0.10908366739749908	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone did something disgusting	11	0.014190617017447948	0.02505313605070114	0.2746157944202423	0.4304629862308502	0.14819493889808655	0.10748258233070374	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone was cruel	12	0.012709004804491997	0.021069517359137535	0.28902387619018555	0.43943271040916443	0.13701078295707703	0.10075405985116959	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone was denied his or her rights	13	0.011684536933898926	0.014967423863708973	0.27200037240982056	0.44078001379966736	0.1502053588628769	0.11036226153373718	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone showed a lack of loyalty	14	0.014249877072870731	0.018614238128066063	0.2976779043674469	0.4204075038433075	0.14691512286663055	0.10213538259267807	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not an action caused chaos or disorder	15	0.014732555486261845	0.01951756700873375	0.2384263128042221	0.4618452489376068	0.15813404321670532	0.10734428465366364	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
"Whether or not someone acted in a way that God would approve of	"	16	0.011780700646340847	0.015589170157909393	0.28605398535728455	0.39888936281204224	0.16317936778068542	0.1245073676109314	MoritzLaurer/mDeBERTa-v3-base-mnli-xnli	en
Whether or not someone suffered emotionally	1	0.005272191017866135	0.012203902006149292	0.2969817519187927	0.5174371600151062	0.10030941665172577	0.06779566407203674	facebook/bart-large-mnli	en
Whether or not some people were treated differently than others	2	0.0025212422478944063	0.006927763111889362	0.2683553993701935	0.5468176603317261	0.10900227725505829	0.06637558341026306	facebook/bart-large-mnli	en
Whether or not someone’s action showed love for his or her country	3	0.012111594900488853	0.03289809077978134	0.28614380955696106	0.4957157373428345	0.1066659614443779	0.06646475195884705	facebook/bart-large-mnli	en
Whether or not someone showed a lack of respect for authority	4	0.003764246590435505	0.00954335555434227	0.2778514325618744	0.5578742027282715	0.09860095381736755	0.05236586928367615	facebook/bart-large-mnli	en
Whether or not someone violated standards of purity and decency	5	0.004797504283487797	0.01192467100918293	0.2567324936389923	0.5249570608139038	0.11701138317584991	0.08457697182893753	facebook/bart-large-mnli	en
Whether or not someone was good at math	6	0.006702011451125145	0.016527758911252022	0.2827111482620239	0.5333772897720337	0.10526119917631149	0.05542054772377014	facebook/bart-large-mnli	en
Whether or not someone cared for someone weak or vulnerable	7	0.0027727617416530848	0.007168716751039028	0.26142406463623047	0.5632588863372803	0.10815495252609253	0.05722065642476082	facebook/bart-large-mnli	en
Whether or not someone acted unfairly	8	0.005553520284593105	0.015478203073143959	0.29666247963905334	0.5214066505432129	0.09419712424278259	0.06670206040143967	facebook/bart-large-mnli	en
Whether or not someone did something to betray his or her group	9	0.003199645783752203	0.010622180998325348	0.27101996541023254	0.545478343963623	0.10306481271982193	0.06661514937877655	facebook/bart-large-mnli	en
Whether or not someone conformed to the traditions of society	10	0.004119043704122305	0.010934464633464813	0.23601041734218597	0.5460671186447144	0.1274067461490631	0.0754622295498848	facebook/bart-large-mnli	en
Whether or not someone did something disgusting	11	0.008796080015599728	0.025750309228897095	0.3565170466899872	0.500249445438385	0.06379526853561401	0.04489191249012947	facebook/bart-large-mnli	en
Whether or not someone was cruel	12	0.006900092586874962	0.020760754123330116	0.3055530786514282	0.5148945450782776	0.08660867065191269	0.06528288871049881	facebook/bart-large-mnli	en
Whether or not someone was denied his or her rights	13	0.004364495165646076	0.013770177960395813	0.28553512692451477	0.5218405723571777	0.10527093708515167	0.0692187249660492	facebook/bart-large-mnli	en
Whether or not someone showed a lack of loyalty	14	0.00554083613678813	0.0161880012601614	0.2864416241645813	0.512804388999939	0.11215174198150635	0.06687336415052414	facebook/bart-large-mnli	en
Whether or not an action caused chaos or disorder	15	0.006906826514750719	0.02010653167963028	0.28771886229515076	0.504762589931488	0.1116325855255127	0.06887262314558029	facebook/bart-large-mnli	en
"Whether or not someone acted in a way that God would approve of	"	16	0.007812370080500841	0.019118143245577812	0.2298716902732849	0.47152650356292725	0.1602257639169693	0.11144554615020752	facebook/bart-large-mnli	en
Whether or not someone suffered emotionally	1	0.01227633748203516	0.04247594624757767	0.27148428559303284	0.5390275716781616	0.08752097189426422	0.047214847058057785	valhalla/distilbart-mnli-12-1	en
Whether or not some people were treated differently than others	2	0.00622074119746685	0.020986953750252724	0.2094794064760208	0.6461105942726135	0.08254144340753555	0.034660790115594864	valhalla/distilbart-mnli-12-1	en
Whether or not someone’s action showed love for his or her country	3	0.01199248805642128	0.04276148974895477	0.2151876837015152	0.6182879209518433	0.07974374294281006	0.032026659697294235	valhalla/distilbart-mnli-12-1	en
Whether or not someone showed a lack of respect for authority	4	0.006439349614083767	0.02581854723393917	0.20993851125240326	0.6406198143959045	0.08542970567941666	0.03175409883260727	valhalla/distilbart-mnli-12-1	en
Whether or not someone violated standards of purity and decency	5	0.01214122585952282	0.042710814625024796	0.21277570724487305	0.5338842272758484	0.1290864497423172	0.06940153241157532	valhalla/distilbart-mnli-12-1	en
Whether or not someone was good at math	6	0.019439585506916046	0.07069709151983261	0.23400042951107025	0.5551562905311584	0.08696382492780685	0.0337427482008934	valhalla/distilbart-mnli-12-1	en
Whether or not someone cared for someone weak or vulnerable	7	0.005013049114495516	0.020134689286351204	0.2340184450149536	0.6055033802986145	0.09676691889762878	0.03856357932090759	valhalla/distilbart-mnli-12-1	en
Whether or not someone acted unfairly	8	0.018438037484884262	0.07660046964883804	0.2714637219905853	0.5040600299835205	0.08384847640991211	0.04558926448225975	valhalla/distilbart-mnli-12-1	en
Whether or not someone did something to betray his or her group	9	0.014295689761638641	0.05926886573433876	0.21661034226417542	0.5882054567337036	0.0782022699713707	0.04341745749115944	valhalla/distilbart-mnli-12-1	en
Whether or not someone conformed to the traditions of society	10	0.007390557322651148	0.028123850002884865	0.19103766977787018	0.6251158714294434	0.10583797842264175	0.04249408096075058	valhalla/distilbart-mnli-12-1	en
Whether or not someone did something disgusting	11	0.03771904855966568	0.1295543909072876	0.2707807719707489	0.4474363625049591	0.07453911751508713	0.03997022286057472	valhalla/distilbart-mnli-12-1	en
Whether or not someone was cruel	12	0.02357150800526142	0.10360356420278549	0.2629268765449524	0.4961329400539398	0.07361248880624771	0.04015263170003891	valhalla/distilbart-mnli-12-1	en
Whether or not someone was denied his or her rights	13	0.012263935059309006	0.05501795932650566	0.23379923403263092	0.5553342700004578	0.09100940823554993	0.052575260400772095	valhalla/distilbart-mnli-12-1	en
Whether or not someone showed a lack of loyalty	14	0.009266111068427563	0.03826853260397911	0.22025591135025024	0.592933714389801	0.0993998572230339	0.039875857532024384	valhalla/distilbart-mnli-12-1	en
Whether or not an action caused chaos or disorder	15	0.016383489593863487	0.06643538922071457	0.21978114545345306	0.5568240880966187	0.09141231328248978	0.049163565039634705	valhalla/distilbart-mnli-12-1	en
"Whether or not someone acted in a way that God would approve of	"	16	0.010843699797987938	0.03785990923643112	0.19319826364517212	0.5871384143829346	0.12622791528701782	0.044731732457876205	valhalla/distilbart-mnli-12-1	en
Whether or not someone suffered emotionally	1	0.016182608902454376	0.0576154924929142	0.31369006633758545	0.4024672508239746	0.13751961290836334	0.07252495735883713	cross-encoder/nli-distilroberta-base	en
Whether or not some people were treated differently than others	2	0.01373099535703659	0.045587021857500076	0.38257765769958496	0.4141218364238739	0.09205444157123566	0.05192798003554344	cross-encoder/nli-distilroberta-base	en
Whether or not someone’s action showed love for his or her country	3	0.012589117512106895	0.031741682440042496	0.3184930980205536	0.4296163320541382	0.1302763968706131	0.07728338241577148	cross-encoder/nli-distilroberta-base	en
Whether or not someone showed a lack of respect for authority	4	0.021640775725245476	0.07423998415470123	0.34122592210769653	0.37335479259490967	0.11478391289710999	0.07475456595420837	cross-encoder/nli-distilroberta-base	en
Whether or not someone violated standards of purity and decency	5	0.015957999974489212	0.03674177825450897	0.3250301778316498	0.35516244173049927	0.16993770003318787	0.09716994315385818	cross-encoder/nli-distilroberta-base	en
Whether or not someone was good at math	6	0.020167406648397446	0.06135345995426178	0.33662500977516174	0.3891112506389618	0.1217888742685318	0.0709540843963623	cross-encoder/nli-distilroberta-base	en
Whether or not someone cared for someone weak or vulnerable	7	0.017659908160567284	0.07749178260564804	0.34923452138900757	0.388055682182312	0.10531819611787796	0.06223997846245766	cross-encoder/nli-distilroberta-base	en
Whether or not someone acted unfairly	8	0.01455590408295393	0.04049455747008324	0.3234672546386719	0.4177777171134949	0.13778401911258698	0.06592059135437012	cross-encoder/nli-distilroberta-base	en
Whether or not someone did something to betray his or her group	9	0.02133990079164505	0.05275867506861687	0.3122480809688568	0.39628034830093384	0.13545097410678864	0.08192194253206253	cross-encoder/nli-distilroberta-base	en
Whether or not someone conformed to the traditions of society	10	0.02139635756611824	0.05986979976296425	0.3237462639808655	0.3687329888343811	0.1379602700471878	0.0882943645119667	cross-encoder/nli-distilroberta-base	en
Whether or not someone did something disgusting	11	0.021598249673843384	0.07742203027009964	0.3110816180706024	0.3584548234939575	0.14126087725162506	0.09018241614103317	cross-encoder/nli-distilroberta-base	en
Whether or not someone was cruel	12	0.016325917094945908	0.04816388711333275	0.3273231089115143	0.40609171986579895	0.13340812921524048	0.06868716329336166	cross-encoder/nli-distilroberta-base	en
Whether or not someone was denied his or her rights	13	0.014611518010497093	0.039781760424375534	0.3363621234893799	0.3980880379676819	0.1336047351360321	0.07755187153816223	cross-encoder/nli-distilroberta-base	en
Whether or not someone showed a lack of loyalty	14	0.01868480071425438	0.07064238935709	0.32307446002960205	0.39139896631240845	0.12343625724315643	0.0727631077170372	cross-encoder/nli-distilroberta-base	en
Whether or not an action caused chaos or disorder	15	0.017331544309854507	0.04986647516489029	0.29166510701179504	0.3656283915042877	0.17730115354061127	0.09820730984210968	cross-encoder/nli-distilroberta-base	en
"Whether or not someone acted in a way that God would approve of	"	16	0.023338034749031067	0.05499064177274704	0.33951687812805176	0.38714349269866943	0.12612444162368774	0.06888650357723236	cross-encoder/nli-distilroberta-base	en
Whether or not someone suffered emotionally	1	0.013470477424561977	0.016293974593281746	0.17955395579338074	0.39365071058273315	0.24055525660514832	0.15647552907466888	microsoft/deberta-base-mnli	en
Whether or not some people were treated differently than others	2	0.012315050698816776	0.01639682985842228	0.18317821621894836	0.39972931146621704	0.22145630419254303	0.16692431271076202	microsoft/deberta-base-mnli	en
Whether or not someone’s action showed love for his or her country	3	0.00682653347030282	0.007699467707425356	0.16117605566978455	0.4301399290561676	0.23914751410484314	0.15501049160957336	microsoft/deberta-base-mnli	en
Whether or not someone showed a lack of respect for authority	4	0.009783146902918816	0.013743201270699501	0.15568682551383972	0.3472224175930023	0.2835889458656311	0.18997547030448914	microsoft/deberta-base-mnli	en
Whether or not someone violated standards of purity and decency	5	0.014339214190840721	0.01776261068880558	0.1446084827184677	0.3205516040325165	0.30402857065200806	0.19870954751968384	microsoft/deberta-base-mnli	en
Whether or not someone was good at math	6	0.018113069236278534	0.02237001806497574	0.19889451563358307	0.34289437532424927	0.25257083773612976	0.16515707969665527	microsoft/deberta-base-mnli	en
Whether or not someone cared for someone weak or vulnerable	7	0.008877336978912354	0.009934321977198124	0.14280569553375244	0.3278231918811798	0.30040979385375977	0.21014970541000366	microsoft/deberta-base-mnli	en
Whether or not someone acted unfairly	8	0.0097379544749856	0.013213517144322395	0.18149910867214203	0.3830195367336273	0.2523573935031891	0.1601724475622177	microsoft/deberta-base-mnli	en
Whether or not someone did something to betray his or her group	9	0.00938568077981472	0.012811815366148949	0.15926750004291534	0.3227211534976959	0.2895907461643219	0.20622308552265167	microsoft/deberta-base-mnli	en
Whether or not someone conformed to the traditions of society	10	0.014202241785824299	0.01827683113515377	0.15253260731697083	0.30364084243774414	0.3023736774921417	0.20897385478019714	microsoft/deberta-base-mnli	en
Whether or not someone did something disgusting	11	0.011582782492041588	0.015953045338392258	0.19325700402259827	0.38426491618156433	0.23904754221439362	0.15589472651481628	microsoft/deberta-base-mnli	en
Whether or not someone was cruel	12	0.011845243163406849	0.015305931679904461	0.19476303458213806	0.4132029414176941	0.2165466547012329	0.14833615720272064	microsoft/deberta-base-mnli	en
Whether or not someone was denied his or her rights	13	0.012550042942166328	0.015321940183639526	0.1467260867357254	0.3322417140007019	0.29204997420310974	0.20111024379730225	microsoft/deberta-base-mnli	en
Whether or not someone showed a lack of loyalty	14	0.009415969252586365	0.012192224152386189	0.1689094454050064	0.350093811750412	0.27673062682151794	0.1826578676700592	microsoft/deberta-base-mnli	en
Whether or not an action caused chaos or disorder	15	0.013047415763139725	0.014064890332520008	0.15570729970932007	0.35731077194213867	0.2683444321155548	0.1915251761674881	microsoft/deberta-base-mnli	en
"Whether or not someone acted in a way that God would approve of	"	16	0.008141226135194302	0.007743623107671738	0.1327466517686844	0.3528445363044739	0.2890256941318512	0.20949828624725342	microsoft/deberta-base-mnli	en
